ENST00000263100.8	A1BG	NM_130786.4
ENST00000409175.6	MARCHF7	NM_001282805.2
ENST00000453424.7	MARCHF8	NM_001282866.2
ENST00000266643.6	MARCHF9	NM_138396.6
ENST00000612661.2	MARCKS	NM_002356.7
ENST00000329421.8	MARCKSL1	NM_023009.7
ENST00000327097.5	MARCO	NM_006770.4
ENST00000638089.2	MARCOL	NM_001363511.2
ENST00000396368.8	MARF1	NM_014647.4
ENST00000366917.6	MARK1	NM_018650.5
ENST00000402010.8	MARK2	NM_001039469.3
ENST00000429436.7	MARK3	NM_001128918.3
ENST00000262891.9	MARK4	NM_001199867.2
ENST00000262027.10	MARS1	NM_004990.4
ENST00000282276.8	MARS2	NM_138395.4
ENST00000285605.8	MARVELD1	NM_031484.4
ENST00000325631.10	MARVELD2	NM_001038603.3
ENST00000268485.8	MARVELD3	NM_052858.6
ENST00000674077.2	MAS1	NM_002377.4
ENST00000377127.4	MAS1L	NM_052967.2
ENST00000296280.11	MASP1	NM_139125.4
ENST00000400897.8	MASP2	NM_006610.4
ENST00000251472.9	MAST1	NM_014975.3
ENST00000361297.7	MAST2	NM_015112.3
ENST00000375940.9	MASTL	NM_001172303.3
ENST00000372213.8	MAT1A	NM_000429.3
ENST00000306434.8	MAT2A	NM_005911.6
ENST00000321757.11	MAT2B	NM_013283.5
ENST00000310132.11	MATK	NM_139355.3
ENST00000373765.5	MATN1	NM_002379.3
ENST00000254898.7	MATN2	NM_002380.5
ENST00000407540.8	MATN3	NM_002381.5
ENST00000394805.8	MATR3	NM_018834.6
ENST00000262815.13	MAU2	NM_015329.4
ENST00000428216.4	MAVS	NM_020746.5
ENST00000358664.9	MAX	NM_002382.5
ENST00000322945.11	MAZ	NM_002383.4
ENST00000397326.7	MB	NM_005368.3
ENST00000392452.3	MB21D2	NM_178496.4
ENST00000256429.8	MBD2	NM_003927.5
ENST00000434436.8	MBD3	NM_001281453.2
ENST00000381393.3	MBD3L2	NM_144614.4
ENST00000636986.2	MBD3L2B	NM_001364674.2
ENST00000329753.5	MBD3L5	NM_001136507.2
ENST00000429544.7	MBD4	NM_001276270.2
ENST00000642680.2	MBD5	NM_001378120.1
ENST00000355673.8	MBD6	NM_052897.4
ENST00000416007.9	MBIP	NM_016586.3
ENST00000674931.1	MBL2	NM_001378373.1
ENST00000398075.4	MBLAC1	NM_203397.3
ENST00000316610.7	MBLAC2	NM_203406.2
ENST00000679496.1	MBNL2	NM_001382683.1
ENST00000324607.8	MBOAT1	NM_001080480.3
ENST00000305997.8	MBOAT2	NM_138799.4
ENST00000320542.4	MBOAT4	NM_001100916.2
ENST00000245615.6	MBOAT7	NM_024298.5
ENST00000355994.7	MBP	NM_001025101.2
ENST00000586178.6	MBTD1	NM_017643.3
ENST00000343411.8	MBTPS1	NM_003791.4
ENST00000379484.10	MBTPS2	NM_015884.4
ENST00000555147.2	MC1R	NM_002386.4
ENST00000327606.4	MC2R	NM_000529.2
ENST00000243911.2	MC3R	NM_019888.3
ENST00000299766.5	MC4R	NM_005912.3
ENST00000589410.2	MC5R	NM_005913.3
ENST00000264036.6	MCAM	NM_006500.3
ENST00000290429.11	MCAT	NM_173467.5
ENST00000408903.7	MCC	NM_001085377.2
ENST00000265594.9	MCCC1	NM_020166.5
ENST00000340941.11	MCCC2	NM_022132.5
ENST00000376191.3	MCCD1	NM_001011700.3
ENST00000244217.6	MCEE	NM_032601.4
ENST00000535094.7	MCF2L	NM_001112732.3
ENST00000319466.9	MCFD2	NM_139279.6
ENST00000281806.7	MCHR2	NM_001040179.2
ENST00000513312.3	MCIDAS	NM_001190787.3
ENST00000369026.3	MCL1	NM_021960.5
ENST00000378714.8	MCM10	NM_018518.5
ENST00000265056.12	MCM2	NM_004526.4
ENST00000596288.7	MCM3	NM_002388.6
ENST00000291688.6	MCM3AP	NM_003906.5
ENST00000649973.1	MCM4	NM_182746.3
ENST00000216122.9	MCM5	NM_006739.4
ENST00000264156.3	MCM6	NM_005915.6
ENST00000303887.10	MCM7	NM_005916.5
ENST00000610722.4	MCM8	NM_032485.6
ENST00000619706.5	MCM9	NM_017696.3
ENST00000369077.4	MCMBP	NM_001256378.2
ENST00000422365.7	MCMDC2	NM_173518.5
ENST00000264079.11	MCOLN1	NM_020533.3
ENST00000370608.8	MCOLN2	NM_153259.4
ENST00000370589.7	MCOLN3	NM_018298.11
ENST00000344683.10	MCPH1	NM_024596.5
ENST00000455127.7	MCRIP1	NM_207368.5
ENST00000307650.9	MCRIP2	NM_138418.4
ENST00000343810.9	MCRS1	NM_006337.5
ENST00000371317.10	MCTS1	NM_014060.3
ENST00000394650.7	MCUB	NM_017918.5
ENST00000376406.8	MDC1	NM_014641.3
ENST00000230321.11	MDFI	NM_005586.4
ENST00000567252.2	MDFIC2	NM_001364677.1
ENST00000434837.8	MDGA1	NM_153487.4
ENST00000233114.13	MDH1	NM_005917.4
ENST00000374412.8	MDH1B	NM_001039845.3
ENST00000315758.10	MDH2	NM_005918.4
ENST00000395566.9	MDK	NM_002391.6
ENST00000367182.8	MDM4	NM_002393.5
ENST00000369393.8	MDN1	NM_014611.3
ENST00000288087.12	MDP1	NM_138476.4
ENST00000369705.4	ME1	NM_002395.6
ENST00000321341.11	ME2	NM_002396.5
ENST00000244711.4	MEA1	NM_014623.4
ENST00000296214.10	MEAF6	NM_001270875.3
ENST00000343629.11	MEAK7	NM_020947.4
ENST00000651503.2	MECOM	NM_004991.4
ENST00000453960.7	MECP2	NM_001110792.2
ENST00000263702.11	MECR	NM_016011.5
ENST00000300651.11	MED1	NM_004774.4
ENST00000255764.4	MED10	NM_032286.3
ENST00000293777.6	MED11	NM_001001683.4
ENST00000374080.8	MED12	NM_005120.3
ENST00000397786.7	MED13	NM_005121.3
ENST00000281928.9	MED13L	NM_015335.5
ENST00000324817.6	MED14	NM_004229.4
ENST00000263205.11	MED15	NM_001003891.3
ENST00000325464.6	MED16	NM_005481.3
ENST00000251871.9	MED17	NM_004268.5
ENST00000373842.9	MED18	NM_017638.3
ENST00000265350.9	MED20	NM_004275.5
ENST00000282892.4	MED21	NM_004264.5
ENST00000343730.10	MED22	NM_133640.5
ENST00000368068.8	MED23	NM_004830.4
ENST00000394128.7	MED24	NM_014815.4
ENST00000312865.10	MED25	NM_030973.4
ENST00000263390.8	MED26	NM_004831.5
ENST00000292035.10	MED27	NM_004269.4
ENST00000237380.12	MED28	NM_025205.5
ENST00000315588.11	MED29	NM_017592.4
ENST00000297347.7	MED30	NM_080651.4
ENST00000225728.8	MED31	NM_016060.3
ENST00000258648.7	MED4	NM_014166.4
ENST00000256379.10	MED6	NM_005466.4
ENST00000286317.6	MED7	NM_004270.5
ENST00000372457.9	MED8	NM_201542.5
ENST00000268711.4	MED9	NM_018019.3
ENST00000380482.9	MEDAG	NM_032849.4
ENST00000424583.7	MEF2B	NM_001145785.2
ENST00000504921.7	MEF2C	NM_002397.5
ENST00000348159.9	MEF2D	NM_005920.4
ENST00000219596.6	MEFV	NM_000243.3
ENST00000503335.7	MEGF10	NM_001256545.2
ENST00000356575.9	MEGF6	NM_001409.4
ENST00000251268.11	MEGF8	NM_001271938.2
ENST00000373930.4	MEGF9	NM_001080497.3
ENST00000401548.8	MEI1	NM_152513.4
ENST00000407572.6	MEIG1	NM_001080836.3
ENST00000442687.6	MEIKIN	NM_001303622.2
ENST00000325962.9	MEIOB	NM_001163560.3
ENST00000409122.7	MEIOC	NM_001145080.3
ENST00000457052.3	MEIOSIN	NM_001310124.2
ENST00000272369.14	MEIS1	NM_002398.3
ENST00000561208.6	MEIS2	NM_170675.5
ENST00000558555.6	MEIS3	NM_001301059.2
ENST00000298048.7	MELK	NM_014791.4
ENST00000296350.10	MELTF	NM_005929.6
ENST00000404530.6	MEMO1	NM_001301833.4
ENST00000450708.7	MEN1	NM_001370259.2
ENST00000318579.9	MEOX1	NM_004527.4
ENST00000262041.6	MEOX2	NM_005924.5
ENST00000230588.9	MEP1A	NM_005588.3
ENST00000269202.11	MEP1B	NM_005925.3
ENST00000310512.4	MEPCE	NM_019606.6
ENST00000295408.9	MERTK	NM_006343.3
ENST00000261758.6	MESD	NM_015154.3
ENST00000341735.5	MESP2	NM_001039958.2
ENST00000223215.10	MEST	NM_002402.4
ENST00000397752.8	MET	NM_000245.4
ENST00000296411.11	METAP1	NM_015143.3
ENST00000315796.5	METAP1D	NM_199227.3
ENST00000323666.10	METAP2	NM_006838.4
ENST00000568223.7	METRN	NM_024042.4
ENST00000320095.12	METRNL	NM_001004431.3
ENST00000324871.12	METTL1	NM_005371.6
ENST00000439373.3	METTL11B	NM_001136107.2
ENST00000388822.10	METTL14	NM_020961.4
ENST00000407364.8	METTL15	NM_001113528.2
ENST00000263092.11	METTL16	NM_024086.4
ENST00000339374.11	METTL17	NM_022734.3
ENST00000310392.5	METTL18	NM_033418.4
ENST00000381920.8	METTL22	NM_024109.4
ENST00000341249.11	METTL23	NM_001080510.5
ENST00000248306.8	METTL25	NM_032230.3
ENST00000301686.13	METTL26	NM_032366.5
ENST00000297873.9	METTL27	NM_152559.3
ENST00000311506.10	METTL2A	NM_181725.4
ENST00000262432.13	METTL2B	NM_018396.3
ENST00000298717.9	METTL3	NM_019852.5
ENST00000574538.2	METTL4	NM_022840.5
ENST00000260953.10	METTL5	NM_014168.4
ENST00000383790.8	METTL6	NM_152396.4
ENST00000332160.5	METTL7A	NM_014033.4
ENST00000394252.4	METTL7B	NM_152637.3
ENST00000358154.8	METTL9	NM_016025.5
ENST00000532414.3	MEX3A	NM_001093725.2
ENST00000329713.5	MEX3B	NM_032246.6
ENST00000406189.4	MEX3C	NM_016626.5
ENST00000267812.4	MFAP1	NM_005926.3
ENST00000375535.4	MFAP2	NM_002403.4
ENST00000522782.6	MFAP3	NM_005927.5
ENST00000361618.4	MFAP3L	NM_021647.8
ENST00000299610.5	MFAP4	NM_002404.3
ENST00000359478.7	MFAP5	NM_003480.4
ENST00000304593.14	MFF	NM_001277062.2
ENST00000268150.13	MFGE8	NM_005928.4
ENST00000276282.7	MFHAS1	NM_004225.3
ENST00000471841.6	MFN1	NM_033540.3
ENST00000235329.10	MFN2	NM_014874.4
ENST00000356998.8	MFNG	NM_002405.4
ENST00000619721.6	MFRP	NM_031433.4
ENST00000415822.8	MFSD1	NM_022736.4
ENST00000355443.9	MFSD10	NM_001146069.2
ENST00000355415.7	MFSD12	NM_174983.5
ENST00000238936.8	MFSD13A	NM_024789.4
ENST00000370152.8	MFSD14A	NM_033055.3
ENST00000375344.8	MFSD14B	NM_032558.3
ENST00000372811.10	MFSD2A	NM_032793.5
ENST00000338315.6	MFSD2B	NM_001346880.2
ENST00000301327.5	MFSD3	NM_138431.3
ENST00000367147.9	MFSD4A	NM_181644.5
ENST00000671876.2	MFSD4B	NM_153369.4
ENST00000329548.5	MFSD5	NM_032889.5
ENST00000392328.6	MFSD6	NM_017694.4
ENST00000329805.6	MFSD6L	NM_152599.4
ENST00000641686.2	MFSD8	NM_001371596.2
ENST00000258436.10	MFSD9	NM_032718.5
ENST00000475668.6	MGAM	NM_001365693.1
ENST00000398955.2	MGARP	NM_032623.4
ENST00000307826.5	MGAT1	NM_002406.4
ENST00000305386.4	MGAT2	NM_002408.4
ENST00000341184.7	MGAT3	NM_002409.5
ENST00000393487.6	MGAT4A	NM_012214.3
ENST00000292591.12	MGAT4B	NM_014275.5
ENST00000511113.6	MGAT4D	NM_001277353.2
ENST00000281923.4	MGAT5	NM_002410.5
ENST00000569840.7	MGAT5B	NM_001199172.2
ENST00000377710.10	MGME1	NM_052865.4
ENST00000651593.1	MGMT	NM_002412.5
ENST00000539261.6	MGP	NM_000900.5
ENST00000262370.12	MGRN1	NM_015246.4
ENST00000396210.8	MGST1	NM_020300.5
ENST00000265498.6	MGST2	NM_002413.5
ENST00000367889.8	MGST3	NM_004528.4
ENST00000263369.4	MIA	NM_006533.4
ENST00000344922.10	MIA3	NM_198551.4
ENST00000261537.7	MIB1	NM_020774.4
ENST00000449934.7	MICA	NM_001177519.3
ENST00000358807.8	MICAL1	NM_022765.4
ENST00000441493.7	MICAL3	NM_015241.3
ENST00000215957.10	MICALL1	NM_033386.4
ENST00000297508.8	MICALL2	NM_182924.4
ENST00000252229.7	MICB	NM_005931.5
ENST00000322753.7	MICOS10	NM_001032363.4
ENST00000309324.9	MICOS13	NM_205767.3
ENST00000361114.10	MICU1	NM_001195518.2
ENST00000382374.9	MICU2	NM_152726.3
ENST00000318063.10	MICU3	NM_181723.3
ENST00000317552.9	MID1	NM_000381.4
ENST00000262843.11	MID2	NM_012216.4
ENST00000323019.9	MIEF2	NM_139162.4
ENST00000394231.8	MIEN1	NM_032339.5
ENST00000401041.6	MIER1	NM_001077700.3
ENST00000381199.8	MIER3	NM_001297599.2
ENST00000215754.8	MIF	NM_002415.2
ENST00000325102.13	MIF4GD	NM_001370592.1
ENST00000235332.6	MIIP	NM_021933.4
ENST00000619286.5	MILR1	NM_001085423.2
ENST00000305428.8	MINAR1	NM_015206.3
ENST00000564719.2	MINAR2	NM_001257308.2
ENST00000559228.6	MINDY2	NM_001040450.3
ENST00000277632.8	MINDY3	NM_024948.4
ENST00000265299.6	MINDY4	NM_032222.3
ENST00000465419.7	MINDY4B	NM_001351281.2
ENST00000355280.11	MINK1	NM_153827.5
ENST00000371996.9	MINPP1	NM_004897.5
ENST00000340080.9	MIOS	NM_019005.4
ENST00000216075.11	MIOX	NM_017584.6
ENST00000652304.1	MIP	NM_012064.4
ENST00000382172.4	MIPEP	NM_005932.4
ENST00000611091.5	MIS12	NM_001258217.2
ENST00000290130.4	MIS18A	NM_018944.3
ENST00000310806.9	MIS18BP1	NM_018353.5
ENST00000215582.8	MISP	NM_173481.4
ENST00000289359.6	MITD1	NM_138798.3
ENST00000352241.9	MITF	NM_001354604.2
ENST00000366810.6	MIXL1	NM_031944.3
ENST00000368654.8	MKI67	NM_002417.5
ENST00000347364.7	MKKS	NM_170784.3
ENST00000352689.11	MKLN1	NM_013255.5
ENST00000371945.10	MKNK1	NM_001135553.4
ENST00000250896.9	MKNK2	NM_199054.3
ENST00000255977.7	MKRN1	NM_013446.4
ENST00000170447.12	MKRN2	NM_014160.5
ENST00000314520.6	MKRN3	NM_005664.4
ENST00000393119.7	MKS1	NM_017777.4
ENST00000419761.6	MKX	NM_173576.3
ENST00000381477.8	MLANA	NM_005511.2
ENST00000311597.10	MLC1	NM_015166.4
ENST00000228506.8	MLEC	NM_014730.4
ENST00000466246.7	MLF1	NM_001369783.1
ENST00000203630.10	MLF2	NM_001382226.1
ENST00000231790.8	MLH1	NM_000249.4
ENST00000355774.7	MLH3	NM_001040108.2
ENST00000502396.6	MLIP	NM_001281747.2
ENST00000308807.12	MLKL	NM_152649.4
ENST00000252674.9	MLLT1	NM_005934.4
ENST00000307729.12	MLLT10	NM_001195626.3
ENST00000368921.5	MLLT11	NM_006818.4
ENST00000380338.9	MLLT3	NM_004529.4
ENST00000621332.5	MLLT6	NM_005937.4
ENST00000430124.7	MLN	NM_002418.3
ENST00000218721.1	MLNR	NM_001507.1
ENST00000264605.8	MLPH	NM_024101.7
ENST00000569417.6	MLST8	NM_022372.6
ENST00000435881.7	MLX	NM_198204.2
ENST00000319080.12	MLXIP	NM_014938.6
ENST00000313375.8	MLXIPL	NM_032951.3
ENST00000262430.6	MLYCD	NM_012213.3
ENST00000649156.2	MMAA	NM_172250.3
ENST00000545712.7	MMAB	NM_052845.4
ENST00000401061.9	MMACHC	NM_015506.3
ENST00000303319.10	MMADHC	NM_015702.3
ENST00000262065.8	MMD	NM_012329.3
ENST00000401401.8	MMD2	NM_198403.4
ENST00000360490.7	MME	NM_007289.4
ENST00000378412.8	MMEL1	NM_033467.4
ENST00000305963.3	MMGT1	NM_173470.3
ENST00000315274.7	MMP1	NM_002421.4
ENST00000279441.9	MMP10	NM_002425.3
ENST00000215743.8	MMP11	NM_005940.5
ENST00000571244.3	MMP12	NM_002426.6
ENST00000260302.8	MMP13	NM_002427.4
ENST00000311852.11	MMP14	NM_004995.4
ENST00000219271.4	MMP15	NM_002428.4
ENST00000286614.11	MMP16	NM_005941.5
ENST00000360564.5	MMP17	NM_016155.7
ENST00000322569.9	MMP19	NM_002429.6
ENST00000219070.9	MMP2	NM_004530.6
ENST00000260228.3	MMP20	NM_004771.4
ENST00000368808.3	MMP21	NM_147191.1
ENST00000356026.10	MMP23B	NM_006983.2
ENST00000246186.8	MMP24	NM_006690.4
ENST00000456790.2	MMP24OS	NM_001355003.2
ENST00000336577.9	MMP25	NM_022468.5
ENST00000260229.5	MMP27	NM_022122.3
ENST00000605424.6	MMP28	NM_024302.5
ENST00000299855.10	MMP3	NM_002422.5
ENST00000260227.5	MMP7	NM_002423.5
ENST00000236826.8	MMP8	NM_002424.3
ENST00000372330.3	MMP9	NM_004994.3
ENST00000264790.7	MMRN1	NM_007351.3
ENST00000372027.10	MMRN2	NM_024756.3
ENST00000438925.7	MMS19	NM_022362.5
ENST00000274813.4	MMUT	NM_000255.4
ENST00000302326.5	MN1	NM_002430.3
ENST00000261245.9	MNAT1	NM_002431.4
ENST00000240488.8	MND1	NM_032117.4
ENST00000368141.5	MNDA	NM_002432.3
ENST00000260453.4	MNS1	NM_018365.4
ENST00000174618.5	MNT	NM_020310.3
ENST00000252971.11	MNX1	NM_005515.4
ENST00000298894.5	MOAP1	NM_022151.5
ENST00000396049.5	MOB1A	NM_018221.5
ENST00000309395.7	MOB1B	NM_173468.4
ENST00000329957.7	MOB2	NM_001172223.3
ENST00000357066.8	MOB3A	NM_130807.3
ENST00000262244.6	MOB3B	NM_024761.5
ENST00000323303.9	MOB4	NM_015387.5
ENST00000261326.6	MOCOS	NM_017947.4
ENST00000340692.10	MOCS1	NM_001358530.2
ENST00000396954.8	MOCS2	NM_004531.5
ENST00000244051.3	MOCS3	NM_014484.5
ENST00000376917.8	MOG	NM_206809.4
ENST00000446656.4	MOGAT1	NM_058165.3
ENST00000198801.10	MOGAT2	NM_025098.4
ENST00000223114.9	MOGAT3	NM_178176.4
ENST00000448666.7	MOGS	NM_006302.3
ENST00000361847.7	MOK	NM_014226.3
ENST00000248248.8	MON1B	NM_014940.4
ENST00000393630.8	MON2	NM_015026.3
ENST00000232603.10	MORC1	NM_014429.4
ENST00000397641.8	MORC2	NM_001303256.3
ENST00000400485.6	MORC3	NM_015358.3
ENST00000355610.9	MORC4	NM_024657.5
ENST00000426013.7	MORF4L1	NM_006791.4
ENST00000441076.7	MORF4L2	NM_012286.3
ENST00000378531.8	MORN1	NM_024848.3
ENST00000355329.7	MORN3	NM_173855.5
ENST00000307450.11	MORN4	NM_178832.4
ENST00000373764.8	MORN5	NM_198469.4
ENST00000311923.1	MOS	NM_005372.1
ENST00000542527.7	MOSMO	NM_001164579.2
ENST00000370783.8	MOSPD1	NM_019556.3
ENST00000380492.8	MOSPD2	NM_152581.4
ENST00000393950.7	MOSPD3	NM_023948.5
ENST00000262794.10	MOV10L1	NM_018995.3
ENST00000367963.8	MOXD1	NM_015529.4
ENST00000360961.11	MPC1	NM_016098.4
ENST00000271373.9	MPC2	NM_001143674.4
ENST00000250124.11	MPDU1	NM_004870.4
ENST00000319217.12	MPDZ	NM_001378778.1
ENST00000361050.4	MPEG1	NM_001039396.2
ENST00000356432.8	MPG	NM_001015052.3
ENST00000244230.7	MPHOSPH10	NM_005791.3
ENST00000258169.9	MPHOSPH6	NM_005792.2
ENST00000361479.10	MPHOSPH8	NM_017520.4
ENST00000606320.6	MPHOSPH9	NM_022782.4
ENST00000352410.9	MPI	NM_002435.3
ENST00000649779.1	MPIG6B	NM_138272.3
ENST00000372470.9	MPL	NM_005373.3
ENST00000306984.8	MPLKIP	NM_138701.4
ENST00000599840.6	MPND	NM_001300862.2
ENST00000225275.4	MPO	NM_000250.2
ENST00000369534.8	MPP1	NM_002436.4
ENST00000269095.9	MPP2	NM_005374.5
ENST00000398389.9	MPP3	NM_001932.6
ENST00000409474.8	MPP4	NM_033066.3
ENST00000261681.9	MPP5	NM_022474.4
ENST00000222644.10	MPP6	NM_001303037.2
ENST00000588072.6	MPPE1	NM_023075.6
ENST00000443721.2	MPPED1	NM_001044370.2
ENST00000358117.10	MPPED2	NM_001584.3
ENST00000651222.2	MPRIP	NM_001364716.4
ENST00000429360.6	MPST	NM_021126.8
ENST00000380044.6	MPV17	NM_002437.5
ENST00000396385.4	MPV17L	NM_001128423.2
ENST00000599612.3	MPV17L2	NM_032683.3
ENST00000533357.5	MPZ	NM_000530.8
ENST00000359523.7	MPZL1	NM_003953.6
ENST00000278937.7	MPZL2	NM_005797.4
ENST00000278949.9	MPZL3	NM_198275.3
ENST00000367580.6	MR1	NM_001385161.1
ENST00000303645.10	MRAP	NM_001379228.1
ENST00000257776.5	MRAP2	NM_138409.4
ENST00000423968.7	MRAS	NM_001085049.3
ENST00000569591.3	MRC1	NM_002438.4
ENST00000303375.10	MRC2	NM_006039.5
ENST00000323929.8	MRE11	NM_005591.4
ENST00000263268.11	MREG	NM_018000.3
ENST00000320848.7	MRFAP1L1	NM_203462.3
ENST00000370487.5	MRGBP	NM_018270.6
ENST00000309106.3	MRGPRD	NM_198923.2
ENST00000389832.7	MRGPRE	NM_001039165.4
ENST00000309099.7	MRGPRF	NM_145015.5
ENST00000332314.3	MRGPRG	NM_001164377.1
ENST00000329773.3	MRGPRX2	NM_054030.4
ENST00000621697.2	MRGPRX3	NM_001370464.1
ENST00000314254.3	MRGPRX4	NM_054032.3
ENST00000040663.8	MRI1	NM_001031727.4
ENST00000414264.6	MRLN	NM_001304731.2
ENST00000614766.5	MRM1	NM_024864.5
ENST00000242257.14	MRM2	NM_013393.3
ENST00000304478.9	MRM3	NM_018146.4
ENST00000292586.11	MRNIP	NM_016175.4
ENST00000398439.8	MRO	NM_031939.6
ENST00000399564.5	MROH2B	NM_173489.5
ENST00000398882.8	MROH6	NM_001100878.2
ENST00000421030.7	MROH7	NM_001039464.4
ENST00000315567.13	MRPL1	NM_020236.4
ENST00000351111.7	MRPL10	NM_145255.4
ENST00000310999.11	MRPL11	NM_016050.5
ENST00000333676.8	MRPL12	NM_002949.4
ENST00000306185.8	MRPL13	NM_014078.6
ENST00000372014.5	MRPL14	NM_032111.4
ENST00000260102.9	MRPL15	NM_014175.4
ENST00000300151.5	MRPL16	NM_017840.4
ENST00000288937.7	MRPL17	NM_022061.4
ENST00000367034.5	MRPL18	NM_014161.5
ENST00000393909.7	MRPL19	NM_014763.4
ENST00000388752.8	MRPL2	NM_015950.5
ENST00000344843.12	MRPL20	NM_017971.4
ENST00000362034.7	MRPL21	NM_181514.2
ENST00000523037.6	MRPL22	NM_014180.4
ENST00000397298.8	MRPL23	NM_021134.4
ENST00000361531.6	MRPL24	NM_145729.3
ENST00000225969.9	MRPL27	NM_016504.3
ENST00000199706.13	MRPL28	NM_006428.5
ENST00000264995.8	MRPL3	NM_007208.4
ENST00000338148.8	MRPL30	NM_145212.4
ENST00000223324.3	MRPL32	NM_031903.3
ENST00000296102.8	MRPL33	NM_004891.4
ENST00000252602.2	MRPL34	NM_023937.4
ENST00000337109.9	MRPL35	NM_016622.4
ENST00000505059.7	MRPL36	NM_032479.4
ENST00000360840.9	MRPL37	NM_016491.4
ENST00000309352.4	MRPL38	NM_032478.4
ENST00000352957.9	MRPL39	NM_017446.4
ENST00000253099.11	MRPL4	NM_015956.3
ENST00000333130.4	MRPL40	NM_003776.4
ENST00000371443.6	MRPL41	NM_032477.3
ENST00000549982.6	MRPL42	NM_014050.4
ENST00000258383.4	MRPL44	NM_022915.5
ENST00000613675.5	MRPL45	NM_032351.6
ENST00000312475.5	MRPL46	NM_022163.4
ENST00000476781.6	MRPL47	NM_020409.3
ENST00000310614.12	MRPL48	NM_016055.6
ENST00000279242.7	MRPL49	NM_004927.4
ENST00000374865.5	MRPL50	NM_019051.3
ENST00000229238.5	MRPL51	NM_016497.4
ENST00000397496.7	MRPL52	NM_180982.3
ENST00000258105.8	MRPL53	NM_053050.5
ENST00000330133.5	MRPL54	NM_172251.3
ENST00000336520.8	MRPL55	NM_181463.3
ENST00000309594.5	MRPL57	NM_024026.5
ENST00000301585.10	MRPL58	NM_001545.3
ENST00000368830.8	MRPL9	NM_031420.4
ENST00000053468.4	MRPS10	NM_018141.4
ENST00000325844.9	MRPS11	NM_022839.5
ENST00000308018.9	MRPS12	NM_033362.4
ENST00000476371.1	MRPS14	NM_022100.3
ENST00000373116.6	MRPS15	NM_031280.4
ENST00000372945.8	MRPS16	NM_016065.4
ENST00000285298.9	MRPS17	NM_015969.3
ENST00000372133.8	MRPS18A	NM_018135.4
ENST00000259873.5	MRPS18B	NM_014046.4
ENST00000295491.9	MRPS18C	NM_016067.4
ENST00000241600.10	MRPS2	NM_016034.5
ENST00000614145.5	MRPS21	NM_031901.6
ENST00000680020.1	MRPS22	NM_020191.4
ENST00000313608.13	MRPS23	NM_016070.4
ENST00000317534.6	MRPS24	NM_032014.3
ENST00000253686.7	MRPS25	NM_022497.5
ENST00000380325.4	MRPS26	NM_030811.4
ENST00000261413.10	MRPS27	NM_015084.3
ENST00000276585.9	MRPS28	NM_014018.3
ENST00000507110.6	MRPS30	NM_016640.4
ENST00000323563.8	MRPS31	NM_005830.4
ENST00000324787.10	MRPS33	NM_053035.3
ENST00000397375.7	MRPS34	NM_023936.2
ENST00000081029.8	MRPS35	NM_021821.4
ENST00000256441.5	MRPS36	NM_033281.6
ENST00000272418.7	MRPS5	NM_031902.5
ENST00000399312.3	MRPS6	NM_032476.4
ENST00000245539.11	MRPS7	NM_015971.4
ENST00000258455.8	MRPS9	NM_182640.3
ENST00000344641.8	MRRF	NM_138777.5
ENST00000378386.8	MRS2	NM_020662.4
ENST00000355630.10	MRTFA	NM_020831.6
ENST00000571589.6	MRTFB	NM_001308142.2
ENST00000330263.5	MRTO4	NM_016183.4
ENST00000345732.9	MS4A1	NM_152866.3
ENST00000308287.2	MS4A10	NM_206893.4
ENST00000016913.8	MS4A12	NM_017716.3
ENST00000378186.7	MS4A13	NM_001012417.3
ENST00000300187.11	MS4A14	NM_032597.5
ENST00000405633.4	MS4A15	NM_001098835.2
ENST00000278888.8	MS4A2	NM_000139.5
ENST00000278865.8	MS4A3	NM_006138.5
ENST00000337908.5	MS4A4A	NM_148975.3
ENST00000300190.7	MS4A5	NM_023945.3
ENST00000300184.8	MS4A7	NM_021201.5
ENST00000300226.7	MS4A8	NM_031457.2
ENST00000438480.7	MSANTD1	NM_001042690.2
ENST00000374979.8	MSANTD2	NM_001308027.2
ENST00000395067.7	MSANTD3	NM_080655.3
ENST00000301919.9	MSANTD4	NM_032424.3
ENST00000325509.5	MSC	NM_005098.4
ENST00000281047.4	MSGN1	NM_001105569.3
ENST00000233146.7	MSH2	NM_000251.3
ENST00000265081.7	MSH3	NM_002439.5
ENST00000263187.4	MSH4	NM_002440.4
ENST00000375750.9	MSH5	NM_172166.4
ENST00000234420.11	MSH6	NM_000179.3
ENST00000257552.7	MSI1	NM_002442.4
ENST00000284073.7	MSI2	NM_138962.4
ENST00000398532.9	MSL1	NM_001365919.1
ENST00000309993.3	MSL2	NM_018133.4
ENST00000312196.10	MSL3	NM_078629.4
ENST00000545450.7	MSLN	NM_005823.6
ENST00000582163.3	MSMB	NM_002443.4
ENST00000261507.11	MSMO1	NM_006745.5
ENST00000436428.3	MSMP	NM_001044264.3
ENST00000360270.7	MSN	NM_002444.3
ENST00000262101.10	MSR1	NM_138715.3
ENST00000317173.9	MSRA	NM_012331.5
ENST00000361871.8	MSRB1	NM_016332.4
ENST00000376510.8	MSRB2	NM_012228.4
ENST00000308259.10	MSRB3	NM_001031679.3
ENST00000299432.7	MSS51	NM_001024593.2
ENST00000296474.8	MST1R	NM_002447.4
